PersonId,DegreeYear,rao,prof_field,phd_field,n,gender
1,2007,0.239818113,Life & Earth,Life & Earth,16,M
2,2005,0.411255052,Phys & Eng,Phys & Eng,4,M
3,2006,0.576151594,Life & Earth,Life & Earth,4,M
4,2006,0.539450966,Bio & Health,Bio & Health,8,M
5,2005,0.533706392,Phys & Eng,Phys & Eng,8,M
6,2005,0.556867684,Bio & Health,Bio & Health,12,M
7,2007,0.565885399,Social Sciences,Social Sciences,1,M
8,2007,0.477017013,Life & Earth,Life & Earth,9,M
9,2006,0.56832787,Math & Computing,Math & Computing,3,M
10,2005,0.489985091,Life & Earth,Life & Earth,4,M
11,2005,0.194978191,Bio & Health,Bio & Health,4,M
12,2006,0.346972137,Phys & Eng,Phys & Eng,19,M
13,2006,0.450039924,Math & Computing,Phys & Eng,9,F
14,2006,0.450039924,Phys & Eng,Phys & Eng,9,F
15,2007,0.49863069,Social Sciences,Social Sciences,2,F
16,2007,0.442062574,Bio & Health,Bio & Health,5,F
17,2005,0.510826349,Life & Earth,Life & Earth,4,F
18,2005,0.538930927,Bio & Health,Bio & Health,6,M
19,2007,0.535741293,Life & Earth,Life & Earth,1,F
20,2005,0.537809833,Bio & Health,Bio & Health,3,F
21,2005,0.46330436,Social Sciences,Social Sciences,4,F
22,2005,0.17775005,Life & Earth,Life & Earth,4,F
23,2005,0.270656334,Social Sciences,Social Sciences,4,M
24,2008,0.073774916,Social Sciences,Social Sciences,8,M
25,2005,0.10530996,Life & Earth,Life & Earth,6,M
26,2008,0.552196198,Bio & Health,Bio & Health,6,F
27,2006,0.491804323,Bio & Health,Bio & Health,2,M
28,2005,0.440115268,Bio & Health,Bio & Health,1,F
29,2006,0.498126865,Bio & Health,Bio & Health,5,F
30,2005,0.351707453,Bio & Health,Bio & Health,4,M
31,2008,0.375938219,Social Sciences,Social Sciences,3,M
32,2005,0.522118152,Social Sciences,Social Sciences,2,F
33,2005,0.544521625,Phys & Eng,Phys & Eng,4,M
34,2008,0.23375201,Life & Earth,Life & Earth,2,F
35,2007,0.432657152,Social Sciences,Social Sciences,6,M
36,2006,0.618572822,Social Sciences,Social Sciences,8,M
37,2007,0.544936294,Bio & Health,Bio & Health,12,M
38,2007,0.593405814,Social Sciences,Social Sciences,2,F
39,2005,0.499077401,Social Sciences,Social Sciences,3,F
40,2007,0.593417849,Life & Earth,Life & Earth,17,M
41,2007,0.239647297,Social Sciences,Social Sciences,2,F
42,2005,0.228618846,Life & Earth,Life & Earth,15,M
43,2005,2.00E-15,Math & Computing,Math & Computing,7,M
44,2008,0.397163828,Social Sciences,Social Sciences,2,M
45,2006,0.423149292,Social Sciences,Social Sciences,4,M
46,2007,0.475235583,Social Sciences,Social Sciences,3,F
47,2007,0.4972672,Social Sciences,Social Sciences,3,F
48,2005,0.293104124,Phys & Eng,Phys & Eng,12,M
49,2005,0.590861459,Math & Computing,Math & Computing,4,M
50,2005,0.341984065,Social Sciences,Social Sciences,5,M
51,2007,0.474023451,Social Sciences,Social Sciences,9,M
52,2007,0.06494513,Math & Computing,Math & Computing,2,F
53,2007,0.490719071,Social Sciences,Social Sciences,9,M
54,2006,0.697233978,Social Sciences,Social Sciences,7,M
55,2005,0.303242265,Phys & Eng,Phys & Eng,8,M
56,2005,0.404790323,Social Sciences,Social Sciences,3,F
57,2007,0.558512249,Bio & Health,Bio & Health,6,F
58,2005,0.623276336,Social Sciences,Math & Computing,2,M
59,2007,0.357010923,Social Sciences,Social Sciences,4,F
60,2007,0.48933935,Bio & Health,Bio & Health,6,F
61,2006,0.398913823,Bio & Health,Bio & Health,11,M
62,2006,0.640772204,Social Sciences,Social Sciences,5,F
63,2006,0.342860242,Social Sciences,Social Sciences,4,F
64,2005,0.478250164,Social Sciences,Social Sciences,3,F
65,2006,0.215890966,Social Sciences,Social Sciences,2,M
66,2005,0.304498028,Social Sciences,Bio & Health,7,M
67,2007,0.347128214,Social Sciences,Social Sciences,6,F
68,2008,0.678624853,Phys & Eng,Phys & Eng,6,M
69,2005,0.41694355,Social Sciences,Social Sciences,13,F
70,2006,0.521134314,Social Sciences,Social Sciences,2,M
71,2006,0.538247142,Bio & Health,Bio & Health,5,M
72,2005,0.52623373,Social Sciences,Social Sciences,5,M
73,2005,0.469129728,Social Sciences,Social Sciences,2,F
74,2006,0.426033385,Bio & Health,Bio & Health,5,F
75,2006,0.388993362,Social Sciences,Social Sciences,1,M
76,2007,0.341942469,Social Sciences,Social Sciences,6,M
77,2005,0.250449979,Social Sciences,Social Sciences,1,F
78,2006,0.512865105,Social Sciences,Social Sciences,2,F
79,2006,0.537791602,Life & Earth,Life & Earth,5,M
80,2005,0.534783063,Bio & Health,Life & Earth,4,M
81,2011,0.389686023,Bio & Health,Social Sciences,13,M
82,2007,0.504680337,Social Sciences,Social Sciences,1,F
83,2008,0.703132469,Life & Earth,Life & Earth,1,F
84,2006,0.48157977,Social Sciences,Social Sciences,2,M
85,2008,0.582848616,Social Sciences,Social Sciences,16,F
86,2006,0.38634542,Phys & Eng,Phys & Eng,4,M
87,2006,0.493906758,Bio & Health,Bio & Health,7,F
88,2007,0.593480473,Social Sciences,Social Sciences,2,M
89,2008,0.52433145,Bio & Health,Bio & Health,18,M
90,2008,0.188047614,Social Sciences,Social Sciences,2,F
91,2005,0.336269441,Phys & Eng,Phys & Eng,4,F
92,2007,0.43850837,Social Sciences,Social Sciences,6,M
93,2007,0.254299859,Social Sciences,Social Sciences,7,M
94,2005,0.061218355,Phys & Eng,Life & Earth,2,M
95,2007,0.25172499,Social Sciences,Social Sciences,1,M
96,2007,0.320884438,Social Sciences,Social Sciences,3,M
97,2006,0.286152013,Life & Earth,Life & Earth,3,M
98,2006,0.369596144,Life & Earth,Phys & Eng,8,M
99,2005,0.13970667,Math & Computing,Math & Computing,3,M
100,2005,0.601035465,Life & Earth,Math & Computing,10,M
101,2005,0.473719378,Social Sciences,Social Sciences,1,F
102,2006,0.585001344,Social Sciences,Social Sciences,2,M
103,2006,0.606654203,Math & Computing,Math & Computing,2,M
104,2005,0.34557088,Phys & Eng,Phys & Eng,2,F
105,2007,0.439288816,Bio & Health,Bio & Health,9,M
106,2007,0.218236042,Social Sciences,Social Sciences,2,F
107,2005,0.257324598,Social Sciences,Social Sciences,5,M
108,2005,0.126285083,Bio & Health,Bio & Health,5,F
109,2006,0.541387904,Phys & Eng,Phys & Eng,14,M
110,2007,0.486381867,Social Sciences,Social Sciences,3,M
111,2005,0.318301431,Phys & Eng,Phys & Eng,1,M
112,2005,0.67565146,Bio & Health,Bio & Health,1,F
113,2006,0.567110326,Phys & Eng,Phys & Eng,10,F
114,2008,0.620236597,Phys & Eng,Phys & Eng,7,M
115,2006,0.541982985,Phys & Eng,Phys & Eng,12,M
116,2006,0.449093125,Social Sciences,Social Sciences,2,F
117,2006,0.187116107,Math & Computing,Math & Computing,10,M
118,2005,0.654926343,Life & Earth,Life & Earth,14,F
119,2006,0.453946747,Life & Earth,Life & Earth,8,M
120,2009,0.303984937,Social Sciences,Phys & Eng,2,M
121,2006,0.525600043,Phys & Eng,Phys & Eng,16,M
122,2005,0.561383408,Phys & Eng,Phys & Eng,4,F
123,2005,0.472861355,Life & Earth,Life & Earth,8,F
124,2005,0.195583506,Social Sciences,Social Sciences,4,M
125,2005,0.48481497,Bio & Health,Math & Computing,4,M
126,2006,0.466635047,Social Sciences,Social Sciences,5,F
127,2006,0.39588072,Social Sciences,Social Sciences,6,F
128,2007,0.160311925,Social Sciences,Social Sciences,5,M
129,2005,0.296922543,Bio & Health,Bio & Health,4,M
130,2005,0.630954009,Social Sciences,Social Sciences,4,F
131,2008,2.22E-16,Math & Computing,Math & Computing,3,M
132,2007,0.483646953,Phys & Eng,Phys & Eng,6,F
133,2007,0.36514572,Social Sciences,Social Sciences,4,M
134,2006,0.463513719,Math & Computing,Math & Computing,5,M
135,2005,0.267216252,Phys & Eng,Phys & Eng,19,M
136,2005,0.477517919,Social Sciences,Social Sciences,4,M
137,2005,0.313452589,Phys & Eng,Phys & Eng,17,M
138,2005,0.626935696,Phys & Eng,Phys & Eng,12,F
139,2007,0.574934378,Bio & Health,Bio & Health,8,F
140,2005,0.576487114,Phys & Eng,Phys & Eng,15,F
141,2007,0.389281358,Social Sciences,Social Sciences,19,M
142,2006,0.442229225,Social Sciences,Social Sciences,7,F
143,2005,0.417171895,Math & Computing,Math & Computing,3,M
144,2006,0.353976998,Math & Computing,Math & Computing,6,M
145,2007,0.47904516,Bio & Health,Bio & Health,2,F
146,2006,0.473615037,Math & Computing,Math & Computing,9,M
147,2007,0.325581422,Social Sciences,Social Sciences,6,M
148,2007,0.212177214,Bio & Health,Bio & Health,20,M
149,2007,7.77E-16,Life & Earth,Math & Computing,7,M
150,2007,7.77E-16,Phys & Eng,Math & Computing,7,M
151,2007,0.2794904,Math & Computing,Phys & Eng,3,M
152,2005,0.437523796,Social Sciences,Social Sciences,3,F
153,2006,0.530831418,Social Sciences,Phys & Eng,2,F
154,2005,0.541432829,Phys & Eng,Phys & Eng,13,M
155,2006,0.70839699,Bio & Health,Bio & Health,2,F
156,2007,0.041089484,Math & Computing,Math & Computing,4,F
157,2007,0.525074904,Phys & Eng,Phys & Eng,4,M
158,2006,0.404389378,Life & Earth,Life & Earth,16,M
159,2005,0.40224019,Bio & Health,Bio & Health,5,M
160,2008,0.490522999,Bio & Health,Bio & Health,4,F
161,2006,0.313162334,Math & Computing,Math & Computing,4,F
162,2006,0.191800341,Social Sciences,Social Sciences,1,M
163,2006,0.244439196,Social Sciences,Social Sciences,2,M
164,2008,0.415686989,Bio & Health,Bio & Health,13,F
165,2005,0.393464769,Bio & Health,Bio & Health,6,F
166,2005,0.449392109,Math & Computing,Bio & Health,7,M
167,2007,0.507095747,Math & Computing,Math & Computing,2,M
168,2005,0.349468922,Social Sciences,Social Sciences,1,M
169,2006,0.52890502,Math & Computing,Math & Computing,1,F
170,2005,0.558470555,Social Sciences,Social Sciences,3,F
171,2005,0.603267786,Social Sciences,Social Sciences,12,F
172,2006,0.216118019,Bio & Health,Bio & Health,6,F
173,2006,0.216118019,Math & Computing,Bio & Health,6,F
174,2006,0.504935426,Social Sciences,Social Sciences,5,M
175,2008,0.275475644,Social Sciences,Social Sciences,2,M
176,2006,0.544225515,Phys & Eng,Phys & Eng,4,M
177,2005,0.255137194,Math & Computing,Phys & Eng,5,M
178,2005,0.263949866,Math & Computing,Math & Computing,3,M
179,2006,0.200978948,Social Sciences,Social Sciences,20,M
180,2006,0.51783853,Social Sciences,Social Sciences,2,M
181,2006,0.38929618,Social Sciences,Social Sciences,3,M
182,2006,0.225636514,Social Sciences,Social Sciences,1,M
183,2005,0.543536546,Social Sciences,Social Sciences,4,M
184,2006,0.495102754,Phys & Eng,Phys & Eng,2,F
185,2006,0.634521214,Bio & Health,Social Sciences,10,F
